,Name,Street Address,Postal Code,Parking Rates
37,The Pier at Robertson,80 Mohamed Sultan Road,239013,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 8am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 8am the following day 

SAT
$1.20 for 1st hr, $0.60 for next subsequent 30min from 8am to 1pm, $4.00/entry from 1pm to 8am the following day 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 8am to 8am the following day 

"
38,CIDC Centre,90 Eu Tong Sen Street,059811,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00/30min subsequently from 6am to 6pm 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60/30min subsequently from 6.01pm to 5.59am the following day 

SAT
$2.00 for 1st hr, $1.00/30min subsequently from 6am to 6pm, $1.20 for 1st hr, $0.60/30min subsequently from 6.01pm to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$2.00 for 1st hr, $1.00/30min subsequently from 6am to 6pm, $1.20 for 1st hr, $0.60/30min subsequently from 6.01pm to 5.59am the following day 

REMARKS
Season Parking At $175.00/mth 

"
39,PAssion WaVe @ Marina Bay,11 Rhu Cross,437440,"MON-FRI Before 5/6 PM
$0.48/15min from 8am to 5pm 

MON-FRI After 5/6 PM
$0.48/15min from 5pm to 8am the following day 

SAT
$0.48/15min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$0.48/15min from 8am to 8am the following day 

REMARKS
10min grace period 

"
40,268 Orchard Road,268 Orchard Road,238856,"MON-FRI Before 5/6 PM
$3.00/30min from 8am to 8pm 

MON-FRI After 5/6 PM
$3.00/30min from 8pm to 8am the following day 

SAT
$3.00/30min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/30min from 8am to 8am the following day 

REMARKS
Automated parking system, Only driver is permitted to enter the car lift 

"
41,West Park BizCentral,24 Pioneer Crescent,628557,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 7am the following day 

SAT
$0.60/30min from 7am to 7am 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 7am 

REMARKS
10min grace period 

"
42,Hotel Fort Canning (Entrance 2),11 Canning Walk,178881,"MON-FRI Before 5/6 PM
(Public) $1.07/30min from 6am to 6pm, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm 

MON-FRI After 5/6 PM
(Public) $3.21/entry from 6pm to 6am the following day, (Members) Free parking from 6pm to 6am the following day 

SAT
(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am  

SUN / PUBLIC HOLIDAYS
(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am  

"
43,HDB McNair Road MSCP,113 McNair Road,323113,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

REMARKS
For any parking session on Mon-Sat between 10.30pm and 7.00am hours the following day, per minute charging will apply. Subjected to a maximum charge of $5.00 

"
44,Fort Canning Car Park A (Canning Walk),Canning Walk,,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
45,Fort Canning Car Park C (Canning Walk),Canning Walk,,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
46,Hotel Fort Canning (Entrance 1),11 Canning Walk,178881,"MON-FRI Before 5/6 PM
(Public) $1.07/30min from 6am to 6pm, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm 

MON-FRI After 5/6 PM
(Public) $3.21/entry from 6pm to 6am the following day, (Members) Free parking from 6pm to 6am the following day 

SAT
(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am  

SUN / PUBLIC HOLIDAYS
(Public) $1.07/30min from 6am to 6pm, $3.21/entry from 6pm to 6am the following day, (Members) Free 1st 3hr, $1.07/30min subsequently from 6am to 6pm, Free parking from 6pm to 6am  

"
47,Paya Lebar Quarter (PLQ 2),1 Paya Lebar Link,408533,"MON-FRI Before 5/6 PM
$2.30/hr from 6am to 5.59pm 

MON-FRI After 5/6 PM
$1.93/hr from 6pm to 5.59am the following day 

SAT
$1.50/hr from 6am to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$1.50/hr from 6am to 5.59am the following day 

"
48,Paya Lebar Quarter (PLQ 3),2 Tanjong Katong Road,437161,"MON-FRI Before 5/6 PM
$2.30/hr from 6am to 5.59pm 

MON-FRI After 5/6 PM
$1.93/hr from 6pm to 5.59am the following day 

SAT
$1.50/hr from 6am to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$1.50/hr from 6am to 5.59am the following day 

"
49,Paya Lebar Quarter (PLQ 1),1 Paya Lebar Link,408533,"MON-FRI Before 5/6 PM
$2.30/hr from 6am to 5.59pm 

MON-FRI After 5/6 PM
$1.93/hr from 6pm to 5.59am the following day 

SAT
$1.50/hr from 6am to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$1.50/hr from 6am to 5.59am the following day 

REMARKS
10min grace period 

"
50,Paya Lebar Quarter (PLQ Mall),10 Paya Lebar Road,409057,"MON-FRI Before 5/6 PM
$1.95/hr from 6am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 5.59am the following day 

SAT
$1.95/hr from 6am to 5.59pm, $3.00/entry from 6pm to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$1.95/hr from 6am to 5.59pm, $3.00/entry from 6pm to 5.59am the following day 

"
51,Lee Kong Chian School of Medicine (LKCMedicine),11 Mandalay Road,308232,"MON-FRI Before 5/6 PM
$0.04/min from 6am to 6pm 

MON-FRI After 5/6 PM
Carpark closed 

SAT
Carpark closed 

SUN / PUBLIC HOLIDAYS
Carpark closed 

REMARKS
10min grace period 

"
52,Foot Care & Limb Design Centre (FLC),11 Jalan Tan Tock Seng,308433,"MON-FRI Before 5/6 PM
$2.40/hr from 7am to 6pm 

MON-FRI After 5/6 PM
$2.40/entry from 6pm to 7am the following day 

SAT
$2.40/entry from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.40/entry from 7am to 7am the following day 

REMARKS
15min grace period, Carpark is strictly for FLC patients only 

"
53,East Coast Park Carpark B1,1000 East Coast Parkway,449876,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

REMARKS
15min grace period 

"
54,East Coast Park Carpark B2,1000 East Coast Parkway,449876,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

REMARKS
15min grace period 

"
55,Up @ Robertson Quay,90 Robertson Quay,238259,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $0.50 for next subsequent 30min from 6am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Season Parking At $160.00/mth 

"
56,Genting Centre,3 Lim Teck Kim Road,088934,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 7pm 

MON-FRI After 5/6 PM
$3.00/entry from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7pm, $3.00/entry from 7pm to 7am the following day 

"
57,Jurong Lake Gardens,104 Yuan Ching Road,618665,"MON-FRI Before 5/6 PM
$0.60/30min from 8.30am to 12pm 

MON-FRI After 5/6 PM
$0.60/30min from 2pm to 6.30am the following day 

SAT
$0.60/30min from 8.30am to 6.30am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 8.30am to 6.30am the following day 

REMARKS
15min grace period, Parking between 10.30pm to 7am the following day capped at $5.00 

"
58,Enterprise Industrial Building,46 Lorong 17 Geylang,388568,"MON-FRI Before 5/6 PM
$1.50/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.50/hr from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
59,Changi Sailing Club,32 Netheravon Road,508508,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.20/hr from 5pm to 7am the following day 

SAT
$1.20/hr from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.20/hr from 7am to 7am the following day 

REMARKS
10min grace period, free parking for member 

"
60,Hotel G Singapore,200 Middle Road,188980,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.00/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period 

"
61,Oasis Terraces,681 Punggol Drive,820681,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$0.60/30min from 6pm to 10.30pm capped at $1.50, $0.60/30min from 10.30pm to 7am the following day capped at $5.00 

SAT
$0.60/30min from 7am to 10.30pm capped at $1.50, $0.60/30min from 10.30pm to 7am the following day capped at $5.00 

SUN / PUBLIC HOLIDAYS
$0.60/30min from 7am to 10.30pm capped at $1.50, $0.60/30min from 10.30pm to 7am the following day capped at $5.00 

REMARKS
10min grace period 

"
62,Kensington Square,2 Jalan Lokam,537846,"MON-FRI Before 5/6 PM
$1.20/hr from 7.30am to 5pm  

MON-FRI After 5/6 PM
$2.50/entry from 5.01pm to 7.29am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 7.30am to 7.29am the following day 

"
63,3B Toh Guan Road East,3B Toh Guan Road East,608833,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  

MON-FRI After 5/6 PM
$2.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
64,Marina One,5 Straits View,018935,"MON-FRI Before 5/6 PM
$1.07/10min from 6am to 5.59pm 

MON-FRI After 5/6 PM
$3.21/entry from 6pm to 5.59am the following day 

SAT
$3.21/entry from 6am to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.21/entry from 6am to 5.59am the following day 

REMARKS
10min grace period on weekdays from 6am to 5.59pm (except PH) 

"
65,Luzerne,70 Bendemeer Road,339940,"MON-FRI Before 5/6 PM
$1.80/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$2.70/entry from 5pm to 7am the following day 

SAT
$1.80 for 1st 2hr, $0.90 for next subsequent 30min from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.80 for 1st 2hr, $0.90 for next subsequent 30min from 7am to 7am the following day 

"
